serie,modelo,repeticao,mae,qtd_deteccoes
B3SA3.SA,LR + KSWIN,3,0.03591393123343445,5
B3SA3.SA,LR + KSWIN,4,0.03310104510805182,6
B3SA3.SA,LR + KSWIN,5,0.03892208683849037,8
B3SA3.SA,LR + KSWIN,6,0.03418209349560873,7
B3SA3.SA,LR + KSWIN,7,0.030993394356631628,5
B3SA3.SA,LR + KSWIN,8,0.033806401399452506,4
B3SA3.SA,LR + KSWIN,9,0.036063981127630845,7
B3SA3.SA,LR + KSWIN,10,0.03289630389821208,7
B3SA3.SA,LR + KSWIN,11,0.034275420756488165,6
B3SA3.SA,LR + KSWIN,12,0.03806190489970476,9
B3SA3.SA,LR + KSWIN,13,0.03413359131755927,6
B3SA3.SA,LR + KSWIN,14,0.03583109467687854,7
B3SA3.SA,LR + KSWIN,15,0.03701963319976743,8
B3SA3.SA,LR + KSWIN,16,0.03631708328966421,8
B3SA3.SA,LR + KSWIN,17,0.03227497939277976,6
B3SA3.SA,LR + KSWIN,18,0.03525704018369602,7
B3SA3.SA,LR + KSWIN,19,0.03143504983051731,7
B3SA3.SA,LR + KSWIN,20,0.03696879223521669,6
B3SA3.SA,LR + KSWIN,21,0.03308594751851591,6
B3SA3.SA,LR + KSWIN,22,0.033290321442589844,8
B3SA3.SA,LR + KSWIN,23,0.037110720602947476,8
B3SA3.SA,LR + KSWIN,24,0.032403389537378806,5
B3SA3.SA,LR + KSWIN,25,0.03181867280767743,4
B3SA3.SA,LR + KSWIN,26,0.03152389862708748,6
B3SA3.SA,LR + KSWIN,27,0.03241058240402237,6
B3SA3.SA,LR + KSWIN,28,0.038860599847027576,8
B3SA3.SA,LR + KSWIN,29,0.035378414248974144,8
B3SA3.SA,LR + KSWIN,30,0.030900990311107504,7
B3SA3.SA,WinKS - Retrain Unique,1,0.03020384154097421,6
B3SA3.SA,WinKS - Retrain Unique,2,0.031209919136990567,4
B3SA3.SA,WinKS - Retrain Unique,3,0.029962264354642266,5
B3SA3.SA,WinKS - Retrain Unique,4,0.03056282838723291,6
B3SA3.SA,WinKS - Retrain Unique,5,0.030146299125523548,8
B3SA3.SA,WinKS - Retrain Unique,6,0.02999457240057846,7
B3SA3.SA,WinKS - Retrain Unique,7,0.03029095130082284,5
B3SA3.SA,WinKS - Retrain Unique,8,0.031683154138439085,4
B3SA3.SA,WinKS - Retrain Unique,9,0.029591396433858018,7
B3SA3.SA,WinKS - Retrain Unique,10,0.030440383002958687,7
B3SA3.SA,WinKS - Retrain Unique,11,0.03171123765910142,6
B3SA3.SA,WinKS - Retrain Unique,12,0.030038684290608943,9
B3SA3.SA,WinKS - Retrain Unique,13,0.03032344440417039,6
B3SA3.SA,WinKS - Retrain Unique,14,0.030464340692519958,6
B3SA3.SA,WinKS - Retrain Unique,15,0.029616610924819792,8
B3SA3.SA,WinKS - Retrain Unique,16,0.02977970020842471,8
B3SA3.SA,WinKS - Retrain Unique,17,0.030055047095321245,6
B3SA3.SA,WinKS - Retrain Unique,18,0.029627091637097962,7
B3SA3.SA,WinKS - Retrain Unique,19,0.029493922701780355,7
B3SA3.SA,WinKS - Retrain Unique,20,0.030538445172919478,6
B3SA3.SA,WinKS - Retrain Unique,21,0.03020742967638742,6
B3SA3.SA,WinKS - Retrain Unique,22,0.030003034305509043,8
B3SA3.SA,WinKS - Retrain Unique,23,0.030198198662108232,8
B3SA3.SA,WinKS - Retrain Unique,24,0.03001564348766955,5
B3SA3.SA,WinKS - Retrain Unique,25,0.03061607180807825,4
B3SA3.SA,WinKS - Retrain Unique,26,0.029442803250179436,6
